ident,iata,name,type,lat,lon,municipality,region
KEAU,EAU,Chippewa Valley Regional Airport,medium_airport,44.86579895019531,-91.48429870605469,Eau Claire,US-WI
KECP,ECP,Northwest Florida Beaches International Airport,medium_airport,30.357106,-85.795414,Panama City Beach,US-FL
KEDC,,Austin Executive Airport,medium_airport,30.398049,-97.566909,Pflugerville,US-TX
KEGE,EGE,Eagle County Regional Airport,medium_airport,39.64260101,-106.9179993,Eagle,US-CO
KEKO,EKO,Elko Regional Airport,medium_airport,40.82490158081055,-115.79199981689453,Elko,US-NV
KELD,ELD,South Arkansas Regional Airport at Goodwin Field,medium_airport,33.221001,-92.813301,El Dorado,US-AR
KELM,ELM,Elmira Corning Regional Airport,medium_airport,42.1599006652832,-76.8916015625,Elmira/Corning,US-NY
KELP,ELP,El Paso International Airport,large_airport,31.809908,-106.375607,El Paso,US-TX
KERI,ERI,Erie International Tom Ridge Field,medium_airport,42.083127,-80.173867,Erie,US-PA
KESC,ESC,Delta County Airport,medium_airport,45.723199,-87.088623,Escanaba,US-MI
KEUG,EUG,Eugene Airport,medium_airport,44.124599,-123.211998,Eugene,US-OR
KEVV,EVV,Evansville Regional Airport,medium_airport,38.0369987488,-87.5324020386,Evansville,US-IN
KEWB,EWB,New Bedford Regional Airport,medium_airport,41.67610168457031,-70.95690155029297,New Bedford,US-MA
KEWN,EWN,Coastal Carolina Regional Airport,medium_airport,35.0730018616,-77.04290008539999,New Bern,US-NC
KEWR,EWR,Newark Liberty International Airport,large_airport,40.6894,-74.170545,Newark,US-NJ
KEYW,EYW,Key West International Airport,medium_airport,24.556119,-81.759579,Key West,US-FL
KFAR,FAR,Hector International Airport,medium_airport,46.9207,-96.815804,Fargo,US-ND
KFAT,FAT,Fresno Yosemite International Airport,large_airport,36.775767,-119.718018,Fresno,US-CA
KFAY,FAY,Fayetteville Regional Airport - Grannis Field,medium_airport,34.991199,-78.880302,Fayetteville,US-NC
KFHR,FRD,Friday Harbor Airport,medium_airport,48.523654,-123.024645,Friday Harbor,US-WA
KFLG,FLG,Flagstaff Pulliam Airport,medium_airport,35.139757,-111.669826,Flagstaff,US-AZ
KFLL,FLL,Fort Lauderdale Hollywood International Airport,large_airport,26.072599,-80.152702,Fort Lauderdale,US-FL
KFLO,FLO,Florence Regional Airport,medium_airport,34.18539810180664,-79.7238998413086,Florence,US-SC
KFNT,FNT,Bishop International Airport,medium_airport,42.969294,-83.743355,Flint,US-MI
KFOD,FOD,Fort Dodge Regional Airport,medium_airport,42.552624,-94.191237,Fort Dodge,US-IA
KFSD,FSD,Sioux Falls Regional Airport,medium_airport,43.585463,-96.741152,Sioux Falls,US-SD
KFSM,FSM,Fort Smith Regional Airport,medium_airport,35.336601,-94.367401,Fort Smith,US-AR
KFTW,FTW,Fort Worth Meacham International Airport,medium_airport,32.819919,-97.360818,Fort Worth,US-TX
KFWA,FWA,Fort Wayne International Airport,medium_airport,40.978896,-85.194465,Fort Wayne,US-IN
KGCC,GCC,Northeast Wyoming Regional Airport,medium_airport,44.3489,-105.539001,Gillette,US-WY
KGCK,GCK,Garden City Regional Airport,medium_airport,37.9275016785,-100.723999023,Garden City,US-KS
KGCN,GCN,Grand Canyon National Park Airport,medium_airport,35.9524,-112.147003,Grand Canyon - Tusayan,US-AZ
KGDV,GDV,Dawson Community Airport,medium_airport,47.137658,-104.80691,Glendive,US-MT
KGEG,GEG,Spokane International Airport,large_airport,47.6199,-117.533997,Spokane,US-WA
KGFK,GFK,Grand Forks International Airport,medium_airport,47.949299,-97.176102,Grand Forks,US-ND
KGGG,GGG,East Texas Regional Airport,medium_airport,32.38399887084961,-94.71150207519531,Longview,US-TX
KGGW,GGW,Glasgow Valley County Airport Wokal Field,medium_airport,48.212502,-106.614998,Glasgow,US-MT
KGJT,GJT,Grand Junction Regional Airport,medium_airport,39.126663,-108.529387,Grand Junction,US-CO
KGLH,GLH,Mid Delta Regional Airport,medium_airport,33.482899,-90.985603,Greenville,US-MS
KGNV,GNV,Gainesville Regional Airport,medium_airport,29.6900997162,-82.2717971802,Gainesville,US-FL
KGPI,FCA,Glacier Park International Airport,medium_airport,48.310501,-114.255997,Kalispell,US-MT
KGPT,GPT,Gulfport Biloxi International Airport,medium_airport,30.405582,-89.069836,Gulfport,US-MS
KGRB,GRB,Austin Straubel International Airport,medium_airport,44.483459,-88.130805,Green Bay,US-WI
KGRI,GRI,Central Nebraska Regional Airport,medium_airport,40.967498779296875,-98.30960083007812,Grand Island,US-NE
KGRK,GRK,Killeen Regional Airport / Robert Gray Army Airfield,medium_airport,31.0672,-97.828903,Fort Cavazos,US-TX
KGRR,GRR,Gerald R. Ford International Airport,large_airport,42.880798,-85.522797,Grand Rapids,US-MI
KGSO,GSO,Piedmont Triad International Airport,large_airport,36.09937,-79.937262,Greensboro,US-NC
KGSP,GSP,Greenville-Spartanburg International Airport,medium_airport,34.895699,-82.218903,Greenville/Greer/Spartanburg,US-SC
KGTF,GTF,Great Falls International Airport,medium_airport,47.481998,-111.371002,Great Falls,US-MT
KGTR,GTR,Golden Triangle Regional Airport,medium_airport,33.450298,-88.5914,Columbus/W Point/Starkville,US-MS
KGUC,GUC,Gunnison Crested Butte Regional Airport,medium_airport,38.534672,-106.934566,Gunnison,US-CO
KGUP,GUP,Gallup Municipal Airport,medium_airport,35.511653,-108.788166,Gallup,US-NM
KGYY,GYY,Gary/Chicago International Airport,medium_airport,41.617087,-87.413206,Gary,US-IN
KHDN,HDN,Yampa Valley Airport,medium_airport,40.481201,-107.218002,Hayden,US-CO
KHGR,HGR,Hagerstown Regional Richard A Henson Field,medium_airport,39.708771,-77.728014,Hagerstown,US-MD
KHHR,HHR,Jack Northrop Field Hawthorne Municipal Airport,medium_airport,33.922798,-118.334999,Hawthorne,US-CA
KHIB,HIB,Range Regional Airport,medium_airport,47.384831,-92.836905,Hibbing,US-MN
KHII,HII,Lake Havasu City Airport,medium_airport,34.570506,-114.357745,Lake Havasu City,US-AZ
KHLN,HLN,Helena Regional Airport,medium_airport,46.6068,-111.983002,Helena,US-MT
KHOB,HOB,Lea County Regional Airport,medium_airport,32.6875,-103.217003,Hobbs,US-NM
KHOT,HOT,Memorial Field Airport,medium_airport,34.4788,-93.096262,Hot Springs,US-AR
KHOU,HOU,William P. Hobby Airport,large_airport,29.645336,-95.276812,Houston,US-TX
KHPN,HPN,Westchester County Airport,medium_airport,41.06700134277344,-73.70760345458984,White Plains,US-NY
KHRL,HRL,Valley International Airport,medium_airport,26.228500366210938,-97.65440368652344,Harlingen,US-TX
KHRO,HRO,Boone County Airport,medium_airport,36.26150131225586,-93.15470123291016,Harrison,US-AR
KHSV,HSV,Huntsville International Airport,medium_airport,34.636244,-86.774378,Huntsville,US-AL
KHTS,HTS,Tri-State Airport / Milton J. Ferguson Field,medium_airport,38.366699,-82.557999,Huntington,US-WV
KHVN,HVN,Tweed New Haven Airport,medium_airport,41.262869,-72.887694,New Haven,US-CT
KHVR,HVR,Havre City County Airport,medium_airport,48.541387,-109.762859,Havre,US-MT
KHXD,HHH,Hilton Head Airport,medium_airport,32.2244,-80.697502,Hilton Head Island,US-SC
KHYA,HYA,Cape Cod Gateway Airport,medium_airport,41.6693,-70.280403,Hyannis,US-MA
KHYS,HYS,Hays Regional Airport,medium_airport,38.844521,-99.273148,Hays,US-KS
KIAD,IAD,Washington Dulles International Airport,large_airport,38.9445,-77.455803,Dulles,US-VA
KIAG,IAG,Niagara Falls International Airport,medium_airport,43.1073,-78.946198,Niagara Falls,US-NY
KIAH,IAH,George Bush Intercontinental Airport,large_airport,29.9844,-95.3414,Houston,US-TX
KICT,ICT,Wichita Dwight D. Eisenhower National Airport,medium_airport,37.650314,-97.428583,Wichita,US-KS
KIDA,IDA,Idaho Falls Regional Airport,medium_airport,43.514599,-112.070999,Idaho Falls,US-ID
KILG,ILG,Wilmington Airport,medium_airport,39.678699,-75.606499,Wilmington,US-DE
KILM,ILM,Wilmington International Airport,medium_airport,34.272345,-77.905117,Wilmington,US-NC
KIMT,IMT,Ford Airport,medium_airport,45.81911,-88.114557,Kingsford,US-MI
KIND,IND,Indianapolis International Airport,large_airport,39.7173,-86.294403,Indianapolis,US-IN
KINL,INL,Falls International Airport,medium_airport,48.566200256347656,-93.4030990600586,International Falls,US-MN
KIPL,IPL,Imperial County Airport,medium_airport,32.83539,-115.574026,Imperial,US-CA
KIPT,IPT,Williamsport Regional Airport,medium_airport,41.242126,-76.92245,Williamsport,US-PA
KIRK,IRK,Kirksville Regional Airport,medium_airport,40.09349822998047,-92.5448989868164,Kirksville,US-MO
KISP,ISP,Long Island MacArthur Airport,medium_airport,40.796324,-73.101703,Islip,US-NY
KITH,ITH,Ithaca Tompkins Regional Airport,medium_airport,42.49100112915039,-76.4583969116211,Ithaca,US-NY
KIWA,AZA,Mesa Gateway Airport,medium_airport,33.3078,-111.654999,Mesa,US-AZ
KJAC,JAC,Jackson Hole Airport,medium_airport,43.6073,-110.737999,Jackson,US-WY
KJAN,JAN,Jackson-Medgar Wiley Evers International Airport,medium_airport,32.311199,-90.075897,Jackson,US-MS
KJAX,JAX,Jacksonville International Airport,large_airport,30.492469,-81.687813,Jacksonville,US-FL
KJBR,JBR,Jonesboro Municipal Airport,medium_airport,35.83169937133789,-90.64640045166016,Jonesboro,US-AR
KJFK,JFK,John F. Kennedy International Airport,large_airport,40.639447,-73.779317,New York,US-NY
KJLN,JLN,Joplin Regional Airport,medium_airport,37.151798,-94.498299,Joplin,US-MO
KJMS,JMS,Jamestown Regional Airport,medium_airport,46.92969894,-98.67819977,Jamestown,US-ND
KJQF,USA,Concord-Padgett Regional Airport,medium_airport,35.387798,-80.709099,Concord,US-NC
KJST,JST,John Murtha Johnstown Cambria County Airport,medium_airport,40.31610107421875,-78.83390045166016,Johnstown,US-PA
KLAF,LAF,Purdue University Airport,medium_airport,40.412875,-86.939363,West Lafayette,US-IN
KLAL,LAL,Lakeland Linder International Airport,medium_airport,27.989267,-82.020715,Lakeland,US-FL
KLAN,LAN,Capital Region International Airport,medium_airport,42.777582,-84.585721,Lansing,US-MI
KLAR,LAR,Laramie Regional Airport,medium_airport,41.31209945678711,-105.67500305175781,Laramie,US-WY
KLAS,LAS,Harry Reid International Airport,large_airport,36.083361,-115.151817,Las Vegas,US-NV
KLAW,LAW,Lawton Fort Sill Regional Airport,medium_airport,34.567699,-98.416603,Lawton,US-OK
KLAX,LAX,Los Angeles International Airport,large_airport,33.942501,-118.407997,Los Angeles,US-CA
KLBB,LBB,Lubbock Preston Smith International Airport,medium_airport,33.663601,-101.822998,Lubbock,US-TX
KLBE,LBE,Arnold Palmer Regional Airport,medium_airport,40.275902,-79.4048,Latrobe,US-PA
KLBF,LBF,North Platte Regional Airport Lee Bird Field,medium_airport,41.12620163,-100.6839981,North Platte,US-NE
KLBL,LBL,Liberal Mid-America Regional Airport,medium_airport,37.0442009,-100.9599991,Liberal,US-KS
KLCH,LCH,Lake Charles Regional Airport,medium_airport,30.126100540161133,-93.22329711914062,Lake Charles,US-LA
KLCK,LCK,Rickenbacker International Airport,medium_airport,39.813801,-82.927803,Columbus,US-OH
KLEB,LEB,Lebanon Municipal Airport,medium_airport,43.626098632799994,-72.30419921880001,Lebanon,US-NH
KLEX,LEX,Blue Grass Airport,medium_airport,38.035066,-84.606738,Lexington,US-KY
KLFT,LFT,Lafayette Regional Airport,medium_airport,30.205299,-91.987602,Lafayette,US-LA
KLGA,LGA,LaGuardia Airport,large_airport,40.777199,-73.872597,New York,US-NY
KLGB,LGB,Long Beach International Airport,large_airport,33.816523,-118.149891,Long Beach,US-CA
KLIT,LIT,Bill & Hillary Clinton National Airport/Adams Field,medium_airport,34.729222,-92.223591,Little Rock,US-AR
KLNK,LNK,Lincoln Airport,medium_airport,40.844882,-96.76178,Lincoln,US-NE
KLNS,LNS,Lancaster Airport,medium_airport,40.121700286865234,-76.29609680175781,Lancaster,US-PA
KLRD,LRD,Laredo International Airport,medium_airport,27.5438,-99.461601,Laredo,US-TX
KLRU,LRU,Las Cruces International Airport,medium_airport,32.289398,-106.921997,Las Cruces,US-NM
KLSE,LSE,La Crosse Regional Airport,medium_airport,43.879002,-91.256699,La Crosse,US-WI
KLUK,LUK,Cincinnati Municipal Airport Lunken Field,medium_airport,39.102357,-84.418945,Cincinnati,US-OH
KLWB,LWB,Greenbrier Valley Airport,medium_airport,37.857914,-80.400438,Lewisburg,US-WV
KLWS,LWS,Lewiston Nez Perce County Airport,medium_airport,46.3745002746582,-117.01499938964844,Lewiston,US-ID
KLYH,LYH,Lynchburg Regional Airport - Preston Glenn Field,medium_airport,37.326698,-79.200401,Lynchburg,US-VA
KMAF,MAF,Midland International Air and Space Port,medium_airport,31.942499,-102.202003,Midland,US-TX
KMBS,MBS,MBS International Airport,medium_airport,43.533181,-84.083104,Freeland,US-MI
KMCE,MCE,Merced Regional Macready Field,medium_airport,37.284698,-120.514,Merced,US-CA
KMCI,MCI,Kansas City International Airport,large_airport,39.301699,-94.713893,Kansas City,US-MO
KMCK,MCK,McCook Ben Nelson Regional Airport,medium_airport,40.207787,-100.592794,McCook,US-NE
KMCN,MCN,Middle Georgia Regional Airport,medium_airport,32.69279861450195,-83.64920043945312,Macon,US-GA
KMCO,MCO,Orlando International Airport,large_airport,28.429399490356445,-81.30899810791016,Orlando,US-FL
KMCW,MCW,Mason City Municipal Airport,medium_airport,43.159801,-93.329716,Mason City,US-IA
KMDT,MDT,Harrisburg International Airport,medium_airport,40.192838,-76.762333,Harrisburg,US-PA
KMDW,MDW,Chicago Midway International Airport,large_airport,41.785999,-87.752403,Chicago,US-IL
KMEI,MEI,Key Field / Meridian Regional Airport,medium_airport,32.3326,-88.7519,Meridian,US-MS
KMEM,MEM,Memphis International Airport,large_airport,35.043845,-89.97634,Memphis,US-TN
KMFE,MFE,McAllen Miller International Airport,medium_airport,26.176141,-98.237965,McAllen,US-TX
KMFR,MFR,Rogue Valley International-Medford Airport,medium_airport,42.374199,-122.873001,Medford,US-OR
KMGC,MGC,Michigan City Municipal Airport,medium_airport,41.7033,-86.821198,Michigan City,US-IN
KMGM,MGM,Montgomery Regional (Dannelly Field) Airport,medium_airport,32.300598,-86.393997,Montgomery,US-AL
KMGW,MGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,medium_airport,39.643305,-79.917598,Morgantown,US-WV
KMHK,MHK,Manhattan Regional Airport,medium_airport,39.14099884033203,-96.6707992553711,Manhattan,US-KS
KMHT,MHT,Manchester-Boston Regional Airport,medium_airport,42.932598,-71.435699,Manchester,US-NH
KMIA,MIA,Miami International Airport,large_airport,25.796011,-80.289751,Miami,US-FL
KMKE,MKE,General Mitchell International Airport,large_airport,42.947201,-87.896599,Milwaukee,US-WI
KMKG,MKG,Muskegon County Airport,medium_airport,43.169498,-86.238197,Muskegon,US-MI
KMKL,MKL,McKellar-Sipes Regional Airport,medium_airport,35.599899,-88.915604,Jackson,US-TN
KMLB,MLB,Melbourne Orlando International Airport,medium_airport,28.102009,-80.641088,Melbourne,US-FL
KMLI,MLI,Quad City International Airport,medium_airport,41.448502,-90.5075,Moline,US-IL
